Location,Map-Lot,Map,Lot,Land Area,Land Use Code,Land Use Category,Land Use Description,Mixed Use,Existing Units,Group Quarters,Grad Student Housing,Condo,Tax Status,Location 1
17 CARLISLE ST,84-95,84,95,1261,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372678142799899, -71.098200015700002)"
839 CAMBRIDGE ST,36-175,36,175,1960,111,Residential,4-8-UNIT-APT, ,4, , , , ,"(42.372618062599898, -71.090741985999898)"
14 MARION ST,36-236,36,236,1851,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3726569666999, -71.088693762299897)"
29 FAYETTE ST,113-24,113,24,6317,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372600575699899, -71.103570549699896)"
36 HIGHLAND AVE,112-47,112,47,15000,112,Residential,>8-UNIT-APT, ,49, , ,YES, ,"(42.372548484699898, -71.105698201300001)"
761 CAMBRIDGE ST,36-118,36,118,5200,104,Mixed Use Residential,MXD TWO-FAM-RES,groundfloor,2, , , , ,"(42.372527093000002, -71.089361251100001)"
984 CAMBRIDGE ST,80-172,80,172,2764,345,Office,RETAIL-OFFIC, ,0, , , , ,"(42.372661903400001, -71.093577222999897)"
95 ANTRIM ST,114A-21,114A,21,3500,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.372648490099898, -71.1023833373999)"
34-36 FAYETTE ST,114A-11,114A,11,4099,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.372631383700003, -71.102843251899898)"
801 CAMBRIDGE ST,36-196,36,196,2530,31,Mixed Use Commercial,MULTIUSE-COM,mixed,1, , , , ,"(42.3725695065, -71.090045114800006)"
1290 MASSACHUSETTS AVE,160-48,160,48,12231,345,Office,RETAIL-OFFIC, ,0, , , , ,"(42.372609077, -71.116966074100006)"
80 WINTER ST,22-117,22,117,1337,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.372602970099898, -71.082165272400005)"
795 CAMBRIDGE ST,36-197,36,197,4970,111,Mixed Use Residential,MXD 4-8-UNIT-AP,groundfloor,4, , , , ,"(42.372552192800001, -71.089905174899897)"
134 COOLIDGE HILL,242A-75,242A,75,11660,1014,Residential,SINGLE FAM W/AU, ,2, , , , ,"(42.3727190233, -71.138498174199896)"
257 ELM ST,85-31,85,31,2978,111,Residential,4-8-UNIT-APT, ,6, , , , ,"(42.3726242324, -71.095874255200002)"
76 WINTER ST,22-50,22,50,2500,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3725238773999, -71.082090768599898)"
95 WINTHROP ST,162-74,162,74,22248,31,Mixed Use Commercial,MULTIUSE-COM,mixed,6, , ,YES, ,"(42.372617198500002, -71.120988135100006)"
300 PROSPECT ST,84-35,84,35,2735,111,Residential,4-8-UNIT-APT, ,6, , , , ,"(42.372634537899899, -71.098444259299896)"
111 INMAN ST,114A-72,114A,72,2745,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.3726350909999, -71.101420462099895)"
190 HAMPSHIRE ST,110-53,110,53,3620,337,Transportation,PARKING-LOT, ,0, , , , ,"(42.372567348399897, -71.099701525)"
401 COLUMBIA ST,80-4,80,4,2607,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.372645112999898, -71.094891103500004)"
8 MULLINS CT,22-94,22,94,12040,112,Residential,>8-UNIT-APT, ,16, , ,YES, ,"(42.372482715300002, -71.081824077999897)"
67 ELLERY ST,135-29,135,29,1846,111,Residential,4-8-UNIT-APT, ,6, , , , ,"(42.372664847300001, -71.109946202299895)"
155 COOLIDGE HILL,242A-111,242A,111,10682,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372647725199897, -71.138839067700005)"
15 CARLISLE ST,84-33,84,33,3200,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.372581061799899, -71.098115089100006)"
331 NORFOLK ST,85-13,85,13,7216,337,Transportation,PARKING-LOT, ,0, , , ,City NonTax,"(42.372537618499898, -71.096858197900005)"
147 AMORY ST,110-24,110,24,5808,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3725655167, -71.100264358900006)"
25 HIGHLAND AVE,112-21,112,21,11572,112,Residential,>8-UNIT-APT, ,9, , ,YES, ,"(42.3725201638999, -71.106550422400005)"
106 ANTRIM ST,114A-57,114A,57,5183,960,Charitable/Religious,Religious, ,0, , , ,Religious NonTax,"(42.3725781995999, -71.101857542600001)"
19 CARLISLE ST,84-96,84,96,1939,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.3725894592, -71.098276834499899)"
777 CAMBRIDGE ST,36-119,36,119,5000,111,Mixed Use Residential,MXD 4-8-UNIT-AP,groundfloor,6, , , , ,"(42.372506528899898, -71.089536152799894)"
3 UNIVERSITY RD,165-54,165,54,19163,337,Transportation,PARKING-LOT, ,0, , , , ,"(42.372420149299899, -71.124423101299897)"
8 FIFTH ST,22-71,22,71,1550,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.372569472199899, -71.082665717599895)"
966 CAMBRIDGE ST,80-51,80,51,2137,345,Office,RETAIL-OFFIC, ,0, , , , ,"(42.372544538, -71.0932150906999)"
14 UNIVERSITY RD,165-55,165,55,126310,345,Office,RETAIL-OFFIC, ,0, , , , ,"(42.372179290399899, -71.123070557099894)"
29 HIGHLAND AVE,112-75,112,75,3125,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.372597156700003, -71.106311576500005)"
15 FIFTH ST,22-32,22,32,1800,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372559686800003, -71.083086723500003)"
66 WINTER ST,22-53,22,53,1860,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.372517260199899, -71.081581471600003)"
7 WARREN ST,36-247,36,247,10831,337,Transportation,PARKING-LOT, ,0, , , ,City NonTax,"(42.3724994288999, -71.088545768499898)"
11 CARLISLE ST,84-75,84,75,3640,111,Residential,4-8-UNIT-APT, ,6, , , , ,"(42.3725337841, -71.097967976199897)"
960 CAMBRIDGE ST,80-52,80,52,2446,104,Mixed Use Residential,MXD TWO-FAM-RES,groundfloor,2, , ,YES, ,"(42.372527245699899, -71.093112526799899)"
14-16 WARREN ST,36-157,36,157,1756,105,Mixed Use Residential,MXD THREE-FM-RE,groundfloor,3, , , , ,"(42.372568918299898, -71.0879699673999)"
409 BROADWAY,139-33,139,33,1470,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372575347100003, -71.108698777499896)"
65 ELLERY ST,135-30,135,30,5000,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372577889399899, -71.110141445899899)"
5-7 LINDEN ST,160-54,160,54,5970,942,Higher Education,Private College, ,0, , , ,Educ NonTax,"(42.372594193700003, -71.117483759300001)"
187-197 MONSIGNOR OBRIEN HWY,7-31,7,31,17330,300,Commercial,HOTEL, ,0, , , , ,"(42.372333508799898, -71.078606811200004)"
91 ANTRIM ST,114A-22,114A,22,3542,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.372563537399898, -71.102446153399896)"
139 COOLIDGE HILL,242A-91,242A,91,9000,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372622849499898, -71.137945746699899)"
24 MAPLE AVE,113-6,113,6,15354,111,Residential,4-8-UNIT-APT, ,5, , ,YES, ,"(42.372449612799898, -71.104297221699895)"
32 FAYETTE ST,114A-114,114A,114,6256,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.372517477899898, -71.102919440099896)"
253 ELM ST,85-32,85,32,4950,111,Residential,4-8-UNIT-APT, ,4, , , , ,"(42.372524964100002, -71.095937598000006)"
64 WINTER ST,22-54,22,54,2420,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372520890700002, -71.081404535299896)"
112 1/2 INMAN ST,114A-73,114A,73,2764,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.372562251399899, -71.101470584599895)"
45-47 TROWBRIDGE ST,135-10,135,10,7225,112,Residential,>8-UNIT-APT, ,25, , ,YES, ,"(42.372535156799898, -71.111545524099895)"
1-3 SEVENTH ST,35-21,35,21,1984,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3725200652, -71.085357414699899)"
395 COLUMBIA ST,80-5,80,5,3495,111,Residential,4-8-UNIT-APT, ,6, , , , ,"(42.372557146699897, -71.094972163899897)"
112 INMAN ST,110-113,110,113,2669,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372543639699899, -71.1009990891)"
12-12 WARREN ST,36-226,36,226,1692,390,Vacant Commercial,COM-DEV-LAND, ,0, , , , ,"(42.3725361577999, -71.087828221500004)"
151 COOLIDGE HILL,242A-110,242A,110,10897,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372561996899897, -71.139142441299896)"
344 NORFOLK ST,85-85,85,85,1300,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3725629463, -71.096225419299898)"
50-52 TROWBRIDGE ST,135-44,135,44,9000,112,Residential,>8-UNIT-APT, ,35, , , , ,"(42.372505939500002, -71.110913602699895)"
154 AMORY ST,110-52,110,52,1639,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.372533488400002, -71.099823809900002)"
21 SCIARAPPA ST,22-55,22,55,1680,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.372427434999899, -71.081427136499897)"
75 COOLIDGE HILL,242A-105,242A,105,11672,130,Vacant Residential,RES-DEV-LAND, ,0, , , , ,"(42.372470845499898, -71.137391349699897)"
254 ELM ST,80-20,80,20,4900,111,Residential,4-8-UNIT-APT, ,6, , , , ,"(42.372414659100002, -71.0954541463)"
148-154 GORE ST,35-70,35,70,3259,111,Residential,4-8-UNIT-APT, ,6, , ,YES, ,"(42.372392741200002, -71.0850576485999)"
12 FIFTH ST,22-69,22,69,1500,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.372429196799899, -71.082719884100001)"
112B INMAN ST,110-115,110,115,1042,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372458965900002, -71.100804798300004)"
7 SEVENTH ST,35-24,35,24,994,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372426704699897, -71.085427271499896)"
22 WINTER ST,21-30,21,30,5000,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.372319745299897, -71.080515304900004)"
473-475 WINDSOR ST,80-132,80,132,1990,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.372451739500001, -71.093618815400006)"
10R WARREN ST,36-225,36,225,2996,132,Vacant Residential,RES-UDV-LAND, ,0, , , , ,"(42.372395536699898, -71.087879273200002)"
237 ELM ST,85-33,85,33,5917,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.3723877657999, -71.0960191584999)"
63 ELLERY ST,135-103,135,103,2727,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372473681499898, -71.110191603600001)"
28 FAYETTE ST,114-113,114,113,7683,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3723752545, -71.103008231399897)"
142 AMORY ST,110-51,110,51,3666,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372381771900002, -71.099854749599899)"
8 ELIOT SQ,162-17,162,17,3132,345,Office,RETAIL-OFFIC, ,0, , , , ,"(42.3724891423999, -71.121416909000004)"
0 ELLERY SQ,130-175,130,175,10900,112,Residential,>8-UNIT-APT, ,0, , , , ,"(42.3722785605, -71.109554860800003)"
110 INMAN ST,110-121,110,121,2589,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3724461925, -71.101070190800002)"
294 PROSPECT ST,84-40,84,40,2632,111,Residential,4-8-UNIT-APT, ,5, , , , ,"(42.372428120899897, -71.098575563799898)"
20 LAMBERT ST,35-39,35,39,2894,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.372378804900002, -71.086619661)"
112C INMAN ST,110-116,110,116,1040,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3724366979, -71.100749059799895)"
19 HIGHLAND AVE,112-22,112,22,7500,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.372369072200001, -71.106662474900006)"
18 WINTER ST,21-118,21,118,8455,337,Transportation,PARKING-LOT, ,0, , , , ,"(42.372298921400002, -71.080354285799899)"
117 GORE ST,22-35,22,35,2100,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.372348537100002, -71.083198032699897)"
9 SEVENTH ST,35-25,35,25,1015,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372388575400002, -71.085451662899899)"
103 GORE ST,22-134,22,134,5000,112,Residential,>8-UNIT-APT, ,15, , ,YES, ,"(42.3722835137999, -71.082382459900003)"
381 COLUMBIA ST,80-7,80,7,6900,111,Residential,4-8-UNIT-APT, ,6, , , , ,"(42.372342887000002, -71.095113570999899)"
112D INMAN ST,110-117,110,117,1921,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372404300100001, -71.100666884500001)"
336 NORFOLK ST,85-17,85,17,2475,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.372397358699899, -71.096416665000007)"
329 NORFOLK ST,85-14,85,14,3635,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3723832505, -71.096953981799899)"
18 ELLERY SQ,135-142,135,142,1335,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372446334300001, -71.109485496700003)"
9 LINDEN ST,160-55,160,55,6770,942,Higher Education,Private College, ,0, , , , ,"(42.372408331700001, -71.117571303800005)"
83 ANTRIM ST,114A-24,114A,24,3705,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.372380772500001, -71.102580471600007)"
405 BROADWAY,139-70,139,70,6985,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3723463826, -71.108036177700001)"
48 TROWBRIDGE ST,135-43,135,43,8986,942,Higher Education,Private College, ,0, , , ,Educ NonTax,"(42.3723584841999, -71.111013526299899)"
731 CAMBRIDGE ST,36-249,36,249,2656,111,Mixed Use Residential,MXD 4-8-UNIT-AP,groundfloor,7, , , , ,"(42.372352780699899, -71.088791654800005)"
7 WARE ST,136-20,136,20,8700,942,Higher Education,Private College, ,0, , , ,Educ NonTax,"(42.372358584399898, -71.113431695399896)"
7 TROWBRIDGE PL,135-14,135,14,4950,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.372357166299899, -71.112152187199897)"
53 BOW ST,160-60,160,60,47036,942,Higher Education,Private College, ,0, , , ,Educ NonTax,"(42.372104159300001, -71.117092299199896)"
850 CAMBRIDGE ST,38-1,38,1,526717,934,Education,Public Schools, ,0, , , ,City NonTax,"(42.37105167, -71.091539183099897)"
12 WINTER ST,21-33,21,33,1641,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372328380100001, -71.080077100400004)"
99 GORE ST,22-63,22,63,2500,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3722659126, -71.082243854500007)"
3 CARLISLE ST,84-30,84,30,1596,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.372394669000002, -71.097736072000004)"
25 LAMBERT ST,35-63,35,63,2670,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.372340911400002, -71.087063067900004)"
259 PROSPECT ST,110-61,110,61,32575,424,Utility,PUB UTIL REG, ,0, , , , ,"(42.371995967899899, -71.099629218399897)"
23 SCIARAPPA ST,22-56,22,56,1800,390,Vacant Commercial,COM-DEV-LAND, ,0, , , , ,"(42.3723457319999, -71.081445313800003)"
17 ELLERY SQ,135-141,135,141,1043,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372422569199898, -71.109404754799897)"
1 SIXTH ST,35-43,35,43,1886,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.372335941000003, -71.084838904199898)"
725 CAMBRIDGE ST,36-243,36,243,1464,104,Mixed Use Residential,MXD TWO-FAM-RES,groundfloor,2, , , , ,"(42.372335833900003, -71.088668097099898)"
16 FIFTH ST,22-68,22,68,670,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372350842400003, -71.082797963199894)"
95 GORE ST,22-115,22,115,4077,111,Residential,4-8-UNIT-APT, ,6, , , , ,"(42.372267117200003, -71.082084987000002)"
10 WINTER ST,21-100,21,100,1457,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.372316158300002, -71.079934294500006)"
11 SEVENTH ST,35-26,35,26,997,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372349542499897, -71.085476517800004)"
391 HARVARD ST,136-39,136,39,16990,942,Higher Education,Private College, ,0, , , ,Educ NonTax,"(42.372261137099898, -71.113882653100006)"
131 AMORY ST,110-26,110,26,3147,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.372354247700002, -71.100416000300001)"
109 GORE ST,22-66,22,66,2100,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.372288606300003, -71.082718061600005)"
61 ELLERY ST,135-104,135,104,2673,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.372398217300002, -71.110239935099898)"
26 SCIARAPPA ST,21-114,21,114,2114,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.372312168699899, -71.081060882700001)"
719 CAMBRIDGE ST,36-248,36,248,4937,345,Office,RETAIL-OFFIC, ,0, , , , ,"(42.372308628900001, -71.088463570100004)"
23-25 FIFTH ST,22-34,22,34,1600,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372312796300001, -71.083089538600007)"
8 WINTER ST,21-121,21,121,7404,326,Commercial,EATING-ESTBL, ,0, , , , ,"(42.372221147799898, -71.079809055400005)"
88 ANTRIM ST,114A-117,114A,117,7917,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.372293281799898, -71.102068578100003)"
107 INMAN ST,114A-75,114A,75,2502,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372357888400003, -71.101618665299895)"
20 CARLISLE ST,84-41,84,41,3200,111,Residential,4-8-UNIT-APT, ,6, , , , ,"(42.372318406399899, -71.098431344700003)"
469 WINDSOR ST,80-125,80,125,1897,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.372361792, -71.093647755800006)"
24-26R SCIARAPPA ST,21-27,21,27,2404,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3722950830999, -71.080878879899899)"
6 SEVENTH ST,35-71,35,71,3752,111,Residential,4-8-UNIT-APT, ,4, , , , ,"(42.372272078199899, -71.085127569799894)"
292 PROSPECT ST,84-53,84,53,2590,111,Residential,4-8-UNIT-APT, ,6, , , , ,"(42.372335746799898, -71.098639864000006)"
1 ELLERY SQ,135-125,135,125,1239,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372410491300002, -71.109198653000007)"
375 HARVARD ST,135-20,135,20,32217,112,Residential,>8-UNIT-APT, ,60, , , , ,"(42.372064950499897, -71.112150198699894)"
16 HOLYOKE ST,160-37,160,37,6997,942,Higher Education,Private College, ,0, , , ,Educ NonTax,"(42.372352045100001, -71.118041368500002)"
20 MAPLE AVE,113-5,113,5,14926,111,Residential,4-8-UNIT-APT, ,6, , ,YES, ,"(42.372216658500001, -71.104492104399895)"
13 SEVENTH ST,35-27,35,27,995,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372311464699898, -71.085504129)"
22 LAMBERT ST,35-38,35,38,1864,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3723076048, -71.086679137900006)"
10 ELIOT SQ,162-29,162,29,1923,326,Commercial,EATING-ESTBL, ,0, , , , ,"(42.372406061299898, -71.121470552700004)"
46 JFK ST,162-4,162,4,5317,942,Higher Education,Private College, ,0, , , , ,"(42.372333847199897, -71.120094860999899)"
110A INMAN ST,110-120,110,120,1518,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372339784600001, -71.100977862099896)"
246 ELM ST,80-19,80,19,4966,111,Residential,4-8-UNIT-APT, ,6, , , , ,"(42.372277989799898, -71.095533437)"
98 WINTHROP ST,162-18,162,18,3405,326,Commercial,EATING-ESTBL, ,0, , , , ,"(42.3723423397999, -71.1212791783)"
87 GORE ST,22-59,22,59,3800,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.372190255200003, -71.081669986099897)"
14 CARLISLE ST,84-42,84,42,3600,111,Residential,4-8-UNIT-APT, ,6, , , , ,"(42.372272115500003, -71.098287020000001)"
395 BROADWAY,112-23,112,23,30850,112,Residential,>8-UNIT-APT, ,62, , ,YES, ,"(42.372071945099897, -71.106909982999895)"
26 FAYETTE ST,114-116,114,116,4654,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372270716899898, -71.103131050599899)"
1234-1238 MASSACHUSETTS AVE,133-52,133,52,2186,326,Commercial,EATING-ESTBL, ,0, , , , ,"(42.3723549933, -71.116051437099898)"
49A DANA ST,135-155,135,155,1499,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372338207600002, -71.109065955000005)"
110B INMAN ST,110-119,110,119,1090,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372321455700003, -71.100850992299897)"
134 AMORY ST,110-48,110,48,9131,424,Utility,PUB UTIL REG, ,0, , , , ,"(42.372187449899897, -71.099976386500003)"
15 SEVENTH ST,35-28,35,28,993,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3722731189999, -71.085530901300004)"
119 AMORY ST,110-93,110,93,4638,111,Residential,4-8-UNIT-APT, ,4, , , , ,"(42.372190867, -71.100534494599898)"
231 ELM ST,85-34,85,34,1981,132,Vacant Residential,RES-UDV-LAND, ,0, , , , ,"(42.372286441299899, -71.096078891000005)"
472 WINDSOR ST,80-71,80,71,3881,111,Residential,4-8-UNIT-APT, ,6, , , , ,"(42.372251187099899, -71.093218942600004)"
2 ELLERY SQ,135-126,135,126,825,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3723634463, -71.109222191000001)"
105 INMAN ST,114A-76,114A,76,3043,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.3722856288, -71.101667445299896)"
111 GORE ST,22-67,22,67,730,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372254373399898, -71.082822463300005)"
399 BROADWAY,112-78,112,78,17775,112,Residential,>8-UNIT-APT, ,47, , , , ,"(42.372162883500003, -71.107504056799897)"
79-81 ANTRIM ST,114-129,114,129,6376,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.3722308733999, -71.102665561699894)"
689R CAMBRIDGE ST,36-222,36,222,55,106,Transportation,RES-LAND-IMP, ,0, , , ,Authority NonTax,"(42.372311205899898, -71.087957987099898)"
29 LAMBERT ST,35-64,35,64,2358,111,Residential,4-8-UNIT-APT, ,6, , , , ,"(42.372239532499897, -71.087111692099896)"
3 SIXTH ST,35-44,35,44,2290,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.372237993200002, -71.084862243200007)"
687R CAMBRIDGE ST,36-223,36,223,83,106,Transportation,RES-LAND-IMP, ,0, , , ,Authority NonTax,"(42.372299015099898, -71.087868633499895)"
96 WINTHROP ST,162-19,162,19,2960,326,Commercial,EATING-ESTBL, ,0, , , , ,"(42.372287798199899, -71.121171562100002)"
689 CAMBRIDGE ST,36-220,36,220,942,920,Public Open Space,Parklands, ,0, , , ,City NonTax,"(42.3722360063, -71.087974544199895)"
467 WINDSOR ST,80-126,80,126,3150,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.372246932000003, -71.093690061800004)"
14 ELIOT ST,162-64,162,64,2580,345,Office,RETAIL-OFFIC, ,0, , , , ,"(42.372321192199898, -71.121533937099898)"
12 CARLISLE ST,84-43,84,43,2800,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.3722270389, -71.098151219200005)"
633 CAMBRIDGE ST,35-37,35,37,1967,111,Mixed Use Residential,MXD 4-8-UNIT-AP,groundfloor,4, , ,YES, ,"(42.372137366700002, -71.0868718669999)"
98 WILLOW ST,80-59,80,59,2018,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.372243393200002, -71.092273363000004)"
17 SEVENTH ST,35-29,35,29,991,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372236211199898, -71.085559268200001)"
55-57 ELLERY ST,135-84,135,84,4971,111,Residential,4-8-UNIT-APT, ,6, , ,YES, ,"(42.372279622100002, -71.110329198200006)"
687 CAMBRIDGE ST,36-221,36,221,1431,920,Public Open Space,Parklands, ,0, , , ,City NonTax,"(42.3722244828, -71.087883020500001)"
3 ELLERY SQ,135-127,135,127,825,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372322789099897, -71.109249911700005)"
49B DANA ST,135-156,135,156,1850,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3722436491, -71.109142776200002)"
173 HAMPSHIRE ST,84-52,84,52,4695,112,Residential,>8-UNIT-APT, ,16, , , , ,"(42.372211864000001, -71.098670587000001)"
629 CAMBRIDGE ST,35-36,35,36,15000,316,Commercial,WAREHOUSE, ,0, , , , ,"(42.372118594600003, -71.086547288299897)"
46 TROWBRIDGE ST,135-42,135,42,9000,111,Residential,4-8-UNIT-APT, ,6, , ,YES, ,"(42.372212851199897, -71.111110071599896)"
CHARLESTOWN AVE,1A-170,1A,170,65300,972,Transportation,Road Right of Way, ,0, , , ,State NonTax,"(42.3716634683, -71.070499873900005)"
219-221 ELM ST,85-37,85,37,5572,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.372115187200002, -71.096289219200003)"
379 COLUMBIA ST,80-8,80,8,3800,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.3722099875, -71.095188682)"
49 DANA ST,135-154,135,154,4968,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372221373000002, -71.108903812400001)"
97 GORE ST,22-114,22,114,1004,972,Transportation,Road Right of Way, ,0, , , ,City NonTax,"(42.372186318099899, -71.082174282599894)"
136 GORE ST,23-108,23,108,1357,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.372194597099899, -71.084318116199896)"
30-32 SCIARAPPA ST,21-21,21,21,1881,111,Residential,4-8-UNIT-APT, ,5, , ,YES, ,"(42.372194054399898, -71.081075608999896)"
21 FAYETTE ST,113-75,113,75,4845,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.3721938909, -71.103914312499896)"
8 1/2 CARLISLE ST,84-44,84,44,3744,111,Residential,4-8-UNIT-APT, ,6, , , , ,"(42.372180761099898, -71.098011102800001)"
20 SEVENTH ST,35-72,35,72,3700,111,Residential,4-8-UNIT-APT, ,4, , ,YES, ,"(42.3721506856999, -71.085218692699897)"
19 SEVENTH ST,35-30,35,30,2060,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3721780987999, -71.085609858599895)"
28 SCIARAPPA ST,21-50,21,50,1368,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372173881000002, -71.080906684200002)"
57 JFK ST,162-54,162,54,14506,325,Commercial,RETAIL-STORE, ,0, , , , ,"(42.372150884699899, -71.120914009100005)"
134 GORE ST,23-109,23,109,1417,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.372179306100001, -71.084208343699899)"
162 COOLIDGE HILL,242A-159,242A,159,14781,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372228044099899, -71.138386423300005)"
53 ELLERY ST,135-33,135,33,7500,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.372187564100003, -71.110506936700006)"
103 INMAN ST,114A-77,114A,77,3404,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.372204879500003, -71.101724885699895)"
24 FAYETTE ST,114-121,114,121,4070,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.3721856652, -71.103203772499896)"
1 BOW ST,133-51,133,51,10990,345,Office,RETAIL-OFFIC, ,0, , , , ,"(42.372204502599899, -71.1160539279999)"
4 ELLERY SQ,135-128,135,128,825,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372279938600002, -71.109276129500003)"
23 PALERMO ST,80-69,80,69,3859,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.372128205000003, -71.093041568700002)"
